"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"HOPE AIRPORT","49.370","-121.493","BC","10.2","2",NA,"29.0","2","1.5","0","",,NA,"150.7","2",NA,"","16","",,NA,"217.9","0.6","1113543"
"HOPE SLIDE","49.267","-121.233","BC","5.9","0","0.0","25.0","0","-3.0","0","27.0","0","172.0","123.8","0","160.0","0.0","19","","",NA,"364.0","0.0","1113581"
"LILLOOET","50.684","-121.934","BC","9.9","0",NA,"28.1","0","-2.7","0","",,NA,"",,NA,"","","",,NA,"243.2","0.0","1114619"
"LYTTON A","50.224","-121.582","BC","9.9","13",NA,"29.2","13","-2.0","13","",,NA,"25.4","13",NA,"","5","",,NA,"137.9","0.0","1114738"
"LYTTON RCS","50.224","-121.582","BC","10.1","0",NA,"31.1","0","-2.1","0","",,NA,"35.5","0",NA,"","7","",,NA,"236.6","0.0","1114746"
"JELLICOE","49.673","-120.333","BC","5.2","3",NA,"24.5","3","-5.0","3","7.0","3",NA,"26.8","3",NA,"0.0","8","","",NA,"344.4","0.0","1123721"
"KELOWNA","49.957","-119.378","BC","8.3","6",NA,"25.4","6","-5.5","6","",,NA,"16.4","6",NA,"","5","",,NA,"232.6","0.0","1123939"
"KELOWNA UBCO","49.941","-119.400","BC","8.8","0",NA,"25.6","0","-3.3","0","",,NA,"24.5","0",NA,"","6","",,NA,"275.9","0.0","1123996"
"MERRITT","50.113","-120.778","BC","7.3","0",NA,"27.8","0","-7.0","0","",,NA,"40.2","12",NA,"","8","",,NA,"319.8","0.0","1125073"
"MERRITT STP","50.114","-120.801","BC","8.2","0","0.0","28.0","0","-5.0","0","0.0","0","0.0","48.4","0","321.0","0.0","8","","",NA,"295.4","0.0","1125079"
"OKANAGAN CENTRE","50.056","-119.445","BC","9.0","0","-0.4","23.0","0","-1.0","0","0.0","0","0.0","43.4","0","140.0","0.0","9","","",NA,"271.4","0.0","1125700"
"OSOYOOS CS","49.028","-119.441","BC","10.4","0","-0.5","27.1","0","-0.7","0","",,NA,"39.1","0",NA,"","7","",,NA,"227.0","0.0","1125852"
"PEACHLAND","49.783","-119.717","BC","9.1","1","-0.6","23.5","1","0.0","1","0.0","1",NA,"28.8","1",NA,"","7","","",NA,"258.0","0.0","1126070"
"PENTICTON A","49.463","-119.602","BC","8.7","1",NA,"22.9","0","-3.5","1","0.0","0",NA,"47.2","0",NA,"","6","",,NA,"270.9","0.0","1126146"
"PRINCETON A","49.468","-120.513","BC","6.8","0","-0.3","27.5","0","-4.5","0","6.0","0","324.0","29.5","0","161.0","0.0","8","","",NA,"335.4","0.0","1126510"
"VERNON AUTO","50.223","-119.194","BC","8.4","0",NA,"26.5","0","-2.1","0","",,NA,"30.5","0",NA,"","8","",,NA,"286.8","0.0","1128582"
"VERNON NORTH","50.344","-119.271","BC","8.0","0","-1.4","25.5","0","-2.0","0","0.4","0","23.0","39.2","0","135.0","0.0","7","","",NA,"299.9","0.0","1128583"
"VERNON SILVER STAR LODGE","50.359","-119.056","BC","0.6","7",NA,"16.5","7","-9.5","7","65.0","7",NA,"65.0","7",NA,"167.0","9","","",NA,"399.9","0.0","1128584"
"PRINCETON CS","49.465","-120.510","BC","6.8","1",NA,"27.8","1","-4.5","0","",,NA,"26.8","1",NA,"","6","",,NA,"326.2","0.0","112FN0M"
"SUMMERLAND CS","49.563","-119.649","BC","8.7","0","-0.8","22.5","0","-2.1","0","",,NA,"40.4","0",NA,"","7","",,NA,"279.8","0.0","112G8L1"
"MIDWAY","49.004","-118.772","BC","3.5","26","-5.0","12.0","26","-4.0","26","0.0","26",NA,"3.6","26",NA,"","1","","",NA,"58.0","0.0","1135126"
"BILLINGS","49.017","-118.228","BC","5.8","20","-3.4","17.0","20","-3.0","20","0.0","20",NA,"33.4","20",NA,"0.0","5","","",NA,"122.4","0.0","1140876"
"CASTLEGAR A","49.296","-117.633","BC","7.7","0","-1.1","24.0","0","-3.0","0","12.8","0","656.0","103.4","0","174.0","0.0","15","","",NA,"308.9","0.0","1141455"
"CASTLEGAR BCHPA DAM","49.343","-117.774","BC","7.0","7","-1.8","23.0","3","-1.0","4","0.0","3",NA,"81.6","3",NA,"0.0","17","","",NA,"252.0","0.0","1141457"
"KASLO","49.913","-116.921","BC","6.3","2","-1.3","24.0","2","-3.0","2","6.8","2",NA,"121.0","2",NA,"","17","","",NA,"328.4","0.0","1143900"
"NAKUSP CS","50.269","-117.817","BC","6.7","0",NA,"22.9","0","-2.4","0","",,NA,"89.4","0",NA,"","15","",,NA,"339.8","0.0","1145297"
"NELSON NE","49.586","-117.206","BC","7.4","0",NA,"25.0","0","-2.0","0","9.8","0",NA,"90.2","0",NA,"0.0","15","","",NA,"318.2","0.0","1145442"
"NEW DENVER","49.996","-117.370","BC","7.0","0","-0.9","23.0","0","-2.0","0","6.0","0","822.0","80.0","0","130.0","0.0","17","","",NA,"328.7","0.0","1145460"
"NELSON CS","49.491","-117.305","BC","7.8","0",NA,"25.2","0","-1.5","0","",,NA,"91.4","0",NA,"","18","",,NA,"306.4","0.0","1145M29"
"WARFIELD RCS","49.112","-117.739","BC","8.0","0",NA,"27.0","0","-2.7","0","",,NA,"90.1","0",NA,"","13","",,NA,"299.7","0.0","1148705"
"CRESTON CAMPBELL SCIENTIFIC","49.082","-116.501","BC","7.5","0",NA,"24.5","0","-3.5","0","",,NA,"74.3","0",NA,"","12","",,NA,"315.4","0.0","114B1F0"
"NELSON RIXEN CREEK","49.512","-117.399","BC","5.8","1",NA,"25.0","1","-4.0","1","28.0","1",NA,"116.0","1",NA,"0.0","16","","",NA,"354.4","0.0","114EMDM"
"CRANBROOK A","49.612","-115.782","BC","5.3","1",NA,"24.5","0","-7.2","1","14.8","0",NA,"44.1","0",NA,"","9","",,NA,"367.7","0.0","1152105"
"CRANBROOK AIRPORT AUTO","49.618","-115.789","BC","5.3","0",NA,"24.5","0","-7.7","0","",,NA,"37.3","0",NA,"","6","",,NA,"380.8","0.0","1152106"
"FERNIE","49.489","-115.073","BC","4.4","3","-1.1","25.0","3","-11.5","3","15.0","3",NA,"69.4","3",NA,"0.0","12","","",NA,"368.3","0.0","1152850"
"FT STEELE DANDY CRK","49.524","-115.461","BC","5.2","8",NA,"24.0","5","-9.0","6","7.0","5",NA,"29.4","5",NA,"0.0","7","","",NA,"282.6","0.0","1153034"
"KIMBERLEY PCC","49.632","-115.962","BC","6.1","14","-0.4","25.0","14","-8.0","14","1.2","14",NA,"18.9","14",NA,"0.0","5","","",NA,"190.4","0.0","1154203"
"KOOTENAY NP WEST GATE","50.631","-116.061","BC","6.5","5","-0.5","25.5","5","-7.0","5","8.0","5",NA,"126.4","5",NA,"0.0","7","","",NA,"286.7","0.0","1154410"
"SPARWOOD","49.745","-114.883","BC","3.3","0","-1.5","24.5","0","-14.0","0","19.6","0","113.0","40.0","0","97.0","0.0","13","","",NA,"441.1","0.0","1157630"
"SPARWOOD CS","49.745","-114.884","BC","3.2","0",NA,"24.2","0","-13.7","0","",,NA,"18.8","24",NA,"34.0","4","",,NA,"444.1","0.0","1157631"
"ASHCROFT","50.708","-121.281","BC","9.9","0",NA,"29.6","0","-2.8","0","",,NA,"25.0","0",NA,"","6","",,NA,"242.5","0.1","1160515"
"BLUE RIVER A","52.129","-119.290","BC","4.3","2","-0.9","24.5","2","-7.0","2","7.2","2",NA,"36.4","2",NA,"0.0","9","","",NA,"384.6","0.0","1160899"
"BLUE RIVER CS","52.129","-119.290","BC","4.0","0",NA,"24.4","0","-7.4","0","",,NA,"38.2","0",NA,"","10","",,NA,"419.1","0.0","1160H99"
"CLEARWATER AUTO","51.653","-120.082","BC","6.9","0",NA,"28.0","0","-3.8","0","",,NA,"",,NA,"","","",,NA,"332.0","0.0","1161650"
"CLINTON A","51.266","-121.685","BC","2.7","8",NA,"17.5","8","-12.9","8","",,NA,"6.4","8",NA,"","2","",,NA,"336.5","0.0","1161662"
"CLINTON RCS","51.144","-121.505","BC","4.0","7",NA,"24.0","7","-8.6","6","",,NA,"28.5","7",NA,"","6","",,NA,"322.3","0.0","1161663"
"CRISS CREEK","51.030","-120.728","BC","2.6","2","-1.1","23.0","2","-14.0","2","36.6","2",NA,"45.2","2",NA,"0.0","8","","",NA,"431.7","0.0","1162177"
"KAMLOOPS A","50.703","-120.449","BC","9.3","2",NA,"28.2","0","-3.9","2","0.4","0",NA,"42.8","0",NA,"","7","",,NA,"243.9","0.0","1163781"
"KAMLOOPS AUT","50.702","-120.442","BC","9.3","0",NA,"28.1","0","-2.8","0","",,NA,"35.5","0",NA,"","7","",,NA,"261.6","0.0","1163842"
"100 MILE HOUSE 6NE","51.681","-121.217","BC","-2.8","29",NA,"1.0","29","-6.5","29","2.8","29",NA,"2.8","29",NA,"","1","","",NA,"20.8","0.0","1165793"
"RED LAKE","50.935","-120.800","BC","4.0","0","-0.5","23.0","0","-10.0","0","32.0","0","200.0","54.4","0","143.0","0.0","8","","",NA,"419.6","0.0","1166658"
"SILVER CREEK","50.545","-119.350","BC","7.4","0","-1.0","26.0","0","-4.5","0","0.2","0","22.0","44.8","0","150.0","0.0","12","","",NA,"318.7","0.0","1167337"
"SUN PEAKS MOUNTAIN","50.903","-119.911","BC","-3.6","16",NA,"4.0","16","-14.0","15","28.0","16",NA,"28.0","16",NA,"","6","","",NA,"302.8","0.0","1168204"
"VAVENBY","51.576","-119.778","BC","7.4","0","-0.6","28.0","0","-4.0","0","1.0","0","116.0","44.0","0","147.0","0.0","12","","",NA,"317.8","0.0","1168520"
"KAMLOOPS PRATT ROAD","50.630","-120.172","BC","6.7","0",NA,"24.5","0","-5.5","0","12.6","0",NA,"66.8","0",NA,"0.0","10","","",NA,"338.0","0.0","116C8P0"
"SALMON ARM CS","50.703","-119.291","BC","8.0","0","-1.4","23.6","0","-3.8","0","",,NA,"47.9","0",NA,"","8","",,NA,"300.7","0.0","116FRMN"
"SUN PEAKS LOWER","50.887","-119.883","BC","-0.5","16",NA,"9.0","16","-10.5","15","25.0","16",NA,"25.0","16",NA,"","5","","",NA,"258.9","0.0","116Q20D"
"SUN PEAKS UPPER","50.902","-119.918","BC","-4.7","16",NA,"1.0","16","-12.0","15","47.0","16",NA,"47.0","16",NA,"","11","","",NA,"317.9","0.0","116QK0M"
"GOLDEN A","51.299","-116.982","BC","5.7","2","-0.8","25.0","2","-6.0","2","7.8","2",NA,"42.2","2",NA,"0.0","8","","",NA,"345.0","0.0","1173210"
"GOLDEN AIRPORT","51.300","-116.984","BC","5.5","0",NA,"24.8","0","-6.3","0","",,NA,"39.5","0",NA,"","6","",,NA,"375.7","0.0","1173220"
"GOLDSTREAM RIVER","51.630","-118.425","BC","2.2","4","-3.0","20.0","4","-7.0","4","2.0","4",NA,"369.0","4",NA,"","13","","",NA,"411.5","0.0","1173242"
"MICA DAM","52.053","-118.585","BC","3.5","2","-1.5","18.0","1","-7.5","1","7.0","1",NA,"73.6","1",NA,"62.0","14","","",NA,"406.0","0.0","1175122"
"REVELSTOKE A","50.967","-118.183","BC","6.1","10",NA,"24.7","10","-2.8","10","",,NA,"51.2","11",NA,"","6","",,NA,"237.1","0.0","1176745"
"REVELSTOKE AIRPORT AUTO","50.958","-118.176","BC","6.2","0",NA,"23.9","0","-2.7","0","",,NA,"86.1","0",NA,"","12","",,NA,"355.2","0.0","1176755"
"YOHO PARK","51.443","-116.345","BC","0.4","0",NA,"17.9","0","-17.8","0","",,NA,"64.1","0",NA,"95.0","14","",,NA,"528.9","0.0","11790J1"
"CHETWYND A","55.687","-121.627","BC","0.8","0","-3.7","24.5","0","-24.0","0","23.8","0","205.0","15.8","0","77.0","0.0","6","","",NA,"515.5","0.0","1181508"
"DAWSON CREEK A","55.742","-120.183","BC","-1.5","5",NA,"22.6","5","-28.6","5","",,NA,"0.0","11",NA,"","0","",,NA,"487.6","0.0","1182289"
"FORT ST. JOHN A","56.238","-120.740","BC","0.0","0",NA,"23.4","0","-23.1","0","19.1","0",NA,"21.1","0",NA,"","4","",,NA,"539.7","0.0","1183001"
"MACKENZIE","55.299","-123.133","BC","1.3","6",NA,"21.6","6","-14.8","6","",,NA,"13.3","6",NA,"","4","",,NA,"401.1","0.0","1184791"
"MACKENZIE AIRPORT AUTO","55.305","-123.138","BC","2.1","0",NA,"22.7","0","-13.7","0","",,NA,"14.5","0",NA,"","6","",,NA,"476.4","0.0","1184793"
"DEASE LAKE A","58.422","-130.031","BC","0.2","5",NA,"17.3","5","-23.3","5","",,NA,"3.0","5",NA,"","1","",,NA,"446.1","0.0","1192341"
"FORT NELSON A","58.836","-122.597","BC","0.5","0",NA,"20.0","0","-21.0","0","4.8","0",NA,"14.4","0",NA,"","4","",,NA,"524.0","0.0","1192946"
"FORT NELSON","58.841","-122.574","BC","0.9","0",NA,"20.4","0","-19.3","0","",,NA,"17.4","0",NA,"","4","",,NA,"512.0","0.0","1192948"
"DEASE LAKE (AUT)","58.426","-130.025","BC","0.3","0",NA,"17.0","0","-23.2","0","",,NA,"8.1","0",NA,"","3","",,NA,"530.7","0.0","119BLM0"
"ATLIN","59.567","-133.700","BC","1.1","0","-0.2","14.0","0","-15.0","0","0.0","0","0.0","0.0","0","0.0","0.0","0","","",NA,"505.9","0.0","1200560"
"PLEASANT CAMP","59.450","-136.367","BC","2.7","0","0.0","12.0","0","-13.0","0","4.0","0","19.0","77.0","0","111.0","0.0","9","","",NA,"457.7","0.0","1206197"
"BURWASH A","61.371","-139.040","YT","-1.7","6",NA,"12.2","6","-23.1","6","",,NA,"0.0","6",NA,"","0","",,NA,"472.3","0.0","2100181"
"BURWASH AIRPORT AUTO BC","61.367","-139.017","YT","-3.0","0",NA,"11.7","0","-27.0","0","",,NA,"3.7","0",NA,"","2","",,NA,"630.7","0.0","2100184"
"CARMACKS CS","62.115","-136.192","YT","-0.5","0",NA,"14.9","0","-24.9","0","",,NA,"1.9","0",NA,"","1","",,NA,"554.4","0.0","2100301"
"FARO (AUT)","62.208","-133.376","YT","-1.6","0",NA,"11.2","0","-23.1","0","",,NA,"7.6","0",NA,"","2","",,NA,"587.7","0.0","2100518"
"HAINES JUNCTION","60.773","-137.580","YT","-0.8","1",NA,"12.1","1","-21.1","0","",,NA,"0.8","1",NA,"","0","",,NA,"546.3","0.0","2100630"
"IVVAVIK NAT. PARK","69.164","-140.150","YT","-11.6","3",NA,"7.3","3","-29.2","0","",,NA,"1.6","4",NA,"13.0","0","",,NA,"800.5","0.0","2100660"
"KOMAKUK BEACH","69.612","-140.197","YT","-15.7","0",NA,"2.0","0","-29.0","0","",,NA,"",,NA,"","","",,NA,"1011.4","0.0","2100682"
"MARGARET LAKE","68.801","-140.848","YT","-16.2","6",NA,"3.9","6","-30.7","4","",,NA,"",,NA,"","","",,NA,"820.6","0.0","2100697"
"MAYO A","63.616","-135.868","YT","-0.5","1",NA,"12.8","0","-16.3","1","0.4","0",NA,"0.4","0",NA,"","0","",,NA,"537.4","0.0","2100701"
"OLD CROW RCS","67.571","-139.839","YT","-11.2","1",NA,"8.1","1","-28.9","0","",,NA,"3.6","1",NA,"","1","",,NA,"846.9","0.0","2100805"
"ROCK RIVER","66.981","-136.218","YT","-10.3","1",NA,"5.3","0","-23.4","1","",,NA,"0.0","1",NA,"","0","",,NA,"822.0","0.0","2100935"
"SHINGLE POINT A","68.950","-137.217","YT","-14.6","0",NA,"5.6","0","-30.2","0","",,NA,"",,NA,"","","",,NA,"976.7","0.0","2100950"
"DAWSON","64.061","-139.127","YT","-1.6","0",NA,"13.2","0","-25.8","0","",,NA,"4.2","0",NA,"","1","",,NA,"588.7","0.0","2100LRP"
"TESLIN (AUT)","60.167","-132.733","YT","-0.9","0",NA,"11.0","0","-21.2","0","",,NA,"4.1","0",NA,"","2","",,NA,"565.7","0.0","2101102"
"WATSON LAKE (AUT)","60.116","-128.832","YT","-2.8","0",NA,"12.1","0","-30.4","0","",,NA,"9.3","0",NA,"12.0","3","",,NA,"622.5","0.0","2101204"
"WHITEHORSE A","60.709","-135.067","YT","-0.4","0",NA,"10.9","0","-18.2","0","",,NA,"",,NA,"","","",,NA,"552.3","0.0","2101303"
"WHITEHORSE AUTO","60.733","-135.098","YT","-0.2","1",NA,"10.8","1","-16.2","0","",,NA,"16.9","1",NA,"0.0","3","",,NA,"528.9","0.0","2101310"
"CAPE PARRY A","70.167","-124.717","NT","-16.0","1",NA,"-6.1","1","-27.3","1","",,NA,"",,NA,"","","",,NA,"986.4","0.0","2200675"
"COLVILLE LAKE","67.021","-126.123","NT","-12.0","0",NA,"10.0","0","-29.4","0","",,NA,"14.6","0",NA,"39.0","4","",,NA,"901.1","0.0","2200824"
"DELINE CS","65.209","-123.433","NT","-9.1","1",NA,"12.4","1","-31.6","0","",,NA,"",,NA,"","","",,NA,"786.9","0.0","2201022"
"DEADMEN VALLEY","61.257","-124.468","NT","-1.0","4",NA,"17.5","3","-26.4","1","",,NA,"1.3","27",NA,"","1","",,NA,"495.0","0.0","22010H0"
"FORT GOOD HOPE CS","66.242","-128.644","NT","-6.3","1",NA,"13.4","1","-25.6","0","",,NA,"3.4","1",NA,"","1","",,NA,"705.8","0.0","2201450"
"FORT LIARD","60.233","-123.467","NT","-1.1","0",NA,"19.0","0","-25.2","0","",,NA,"",,NA,"","","",,NA,"572.0","0.0","2201579"
"FORT PROVIDENCE","61.317","-117.602","NT","-3.9","1",NA,"15.9","1","-27.0","0","",,NA,"",,NA,"","","",,NA,"633.9","0.0","2201799"
"FORT RELIANCE (AUT)","62.711","-109.168","NT","-9.9","2",NA,"12.3","2","-33.0","0","",,NA,"22.9","2",NA,"29.0","7","",,NA,"782.2","0.0","2201903"
"FORT SIMPSON CLIMATE","61.760","-121.237","NT","-0.6","9",NA,"16.1","9","-17.7","9","",,NA,"2.9","9",NA,"","1","",,NA,"391.6","0.0","2202102"
"FORT SIMPSON A","61.760","-121.237","NT","-3.5","1",NA,"15.5","0","-24.3","1","6.8","0",NA,"5.4","0",NA,"","3","",,NA,"624.2","0.0","2202103"
"FORT SMITH A","60.020","-111.962","NT","-3.7","3",NA,"18.0","0","-26.0","3","4.8","0",NA,"7.0","0",NA,"","3","",,NA,"585.0","0.0","2202201"
"FORT SMITH CLIMATE","60.026","-111.929","NT","-3.0","0",NA,"18.5","0","-25.4","0","",,NA,"21.9","0",NA,"","6","",,NA,"629.4","0.0","2202202"
"HANBURY RIVER","63.600","-105.133","NT","-15.7","4",NA,"4.4","3","-33.6","1","",,NA,"9.9","4",NA,"16.0","4","",,NA,"875.5","0.0","2202351"
"HAY RIVER A","60.840","-115.783","NT","-6.1","0",NA,"18.6","0","-30.4","0","28.4","0",NA,"25.2","1",NA,"4.0","5","",,NA,"723.0","0.0","2202401"
"HAY RIVER CLIMATE","60.839","-115.777","NT","-5.8","0",NA,"19.0","0","-28.5","0","",,NA,"12.4","0",NA,"1.0","4","",,NA,"715.1","0.0","2202402"
"INNER WHALEBACKS","61.920","-113.726","NT","",,NA,"",,"",,"",,NA,"3.8","3",NA,"","1","",,NA,"","","2202560"
"INUVIK CLIMATE","68.317","-133.517","NT","-10.7","1",NA,"8.6","1","-25.9","0","",,NA,"6.4","1",NA,"40.0","2","",,NA,"833.7","0.0","2202578"
"LAC LA MARTRE","63.134","-117.245","NT","-7.9","1",NA,"10.9","1","-29.5","0","",,NA,"",,NA,"","","",,NA,"752.4","0.0","2202678"
"NORMAN WELLS A","65.281","-126.799","NT","-8.0","1",NA,"11.7","0","-28.3","1","8.9","0",NA,"8.4","0",NA,"0.0","3","",,NA,"754.9","0.0","2202801"
"NORMAN WELLS CLIMATE","65.288","-126.753","NT","-8.1","0",NA,"12.8","0","-28.0","0","",,NA,"9.2","0",NA,"18.0","2","",,NA,"782.4","0.0","2202810"
"PAULATUK","69.358","-124.083","NT","-17.3","1",NA,"-1.8","1","-29.2","0","",,NA,"14.7","1",NA,"4.0","6","",,NA,"1022.3","0.0","2203058"
"PELLY ISLAND","69.633","-135.444","NT","-15.6","1",NA,"2.6","1","-28.1","0","",,NA,"0.0","1",NA,"","0","",,NA,"974.0","0.0","2203095"
"RABBIT KETTLE","61.963","-127.209","NT","-2.1","5",NA,"13.8","4","-26.4","2","",,NA,"",,NA,"","","",,NA,"502.0","0.0","2203342"
"RAE LAKES","64.112","-117.328","NT","-10.6","1",NA,"8.9","1","-28.5","0","",,NA,"2.7","1",NA,"6.0","1","",,NA,"828.9","0.0","2203359"
"TUKTUT NOGAIT","69.199","-122.359","NT","-19.9","13",NA,"-5.9","13","-31.8","10","",,NA,"",,NA,"","","",,NA,"644.0","0.0","2203918"
"YELLOWKNIFE A","62.463","-114.440","NT","-7.4","0",NA,"10.2","0","-27.6","0","7.2","0",NA,"5.8","0",NA,"0.0","3","",,NA,"762.1","0.0","2204101"
"YELLOWKNIFE-HENDERSON","62.450","-114.383","NT","-2.9","0",NA,"26.0","0","-24.0","0","4.0","0",NA,"6.8","0",NA,"0.0","2","","",NA,"628.0","0.0","2204110"
"YOHIN","61.242","-123.742","NT","-1.5","7",NA,"21.0","5","-26.0","4","",,NA,"",,NA,"0.0","","",,NA,"449.1","0.0","2204300"
"LIVERPOOL BAY","69.604","-130.911","NT","-16.6","1",NA,"0.7","1","-28.5","1","",,NA,"",,NA,"","","",,NA,"1003.7","0.0","220B68C"
"LINDBURG LANDING","61.125","-122.851","NT","-2.8","1",NA,"18.0","1","-26.8","0","",,NA,"5.2","1",NA,"3.0","2","",,NA,"601.9","0.0","220N003"
"LOWER CARP LAKE","63.603","-113.863","NT","-10.4","3",NA,"7.6","3","-31.1","0","",,NA,"",,NA,"14.0","","",,NA,"765.5","0.0","220N004"
"TRAIL VALLEY","68.746","-133.502","NT","-14.3","1",NA,"5.4","1","-30.1","0","",,NA,"5.0","1",NA,"50.0","2","",,NA,"936.1","0.0","220N005"
"ARVIAT A","61.094","-94.072","NU","-12.3","12",NA,"3.6","12","-31.6","12","",,NA,"6.5","12",NA,"","1","",,NA,"544.6","0.0","2300427"
"BAKER LAKE CLIMATE","64.317","-96.000","NU","-19.0","4",NA,"0.1","3","-32.1","4","",,NA,"1.3","4",NA,"1.0","0","",,NA,"961.1","0.0","2300501"
"BAKER LAKE A","64.299","-96.078","NU","-17.4","3",NA,"1.3","0","-31.0","3","57.8","1",NA,"12.2","0",NA,"28.0","3","",,NA,"956.5","0.0","2300503"
"BATHURST INLET","66.838","-108.015","NU","-17.2","2",NA,"-0.6","2","-29.7","0","",,NA,"5.5","3",NA,"13.0","2","",,NA,"984.3","0.0","2300551"
"KUGLUKTUK A","67.817","-115.144","NU","-19.3","0",NA,"-3.5","0","-32.4","0","17.6","0",NA,"6.8","0",NA,"27.0","2","",,NA,"1120.1","0.0","2300903"
"KUGLUKTUK CLIMATE","67.817","-115.135","NU","-19.2","1",NA,"-3.3","1","-32.3","0","",,NA,"4.3","1",NA,"32.0","1","",,NA,"1079.8","0.0","2300904"
"CORAL HARBOUR A","64.193","-83.359","NU","-17.4","6",NA,"0.2","3","-34.9","5","15.8","2",NA,"14.4","3",NA,"65.0","6","",,NA,"850.5","0.0","2301002"
"CORAL HARBOUR RCS","64.183","-83.350","NU","-16.7","1",NA,"0.1","1","-33.8","0","",,NA,"21.1","2",NA,"24.0","8","",,NA,"1005.4","0.0","2301010"
"ENNADAI LAKE (AUT)","61.132","-100.884","NU","-12.3","5",NA,"5.3","4","-32.3","1","",,NA,"3.4","5",NA,"0.0","1","",,NA,"757.6","0.0","2301102"
"ARVIAT CLIMATE","61.100","-94.067","NU","-14.4","1",NA,"3.8","1","-32.6","0","",,NA,"39.5","1",NA,"8.0","10","",,NA,"940.7","0.0","2301153"
"GJOA HAVEN A","68.636","-95.850","NU","-21.2","9",NA,"-8.0","9","-33.5","9","",,NA,"2.9","9",NA,"","1","",,NA,"823.8","0.0","2302337"
"GJOA HAVEN CLIMATE","68.636","-95.850","NU","-20.8","7",NA,"-2.9","7","-33.7","5","",,NA,"47.2","2",NA,"","13","",,NA,"893.5","0.0","2302340"
"CAM FOUR","68.437","-89.726","NU","-19.7","0",NA,"-5.9","0","-31.4","0","",,NA,"",,NA,"","","",,NA,"1131.6","0.0","2303093"
"KUGAARUK CLIMATE","68.538","-89.796","NU","-20.1","1",NA,"-3.3","1","-36.4","0","",,NA,"10.3","1",NA,"","3","",,NA,"1105.5","0.0","2303094"
"RANKIN INLET A","62.811","-92.115","NU","-17.3","0",NA,"2.0","0","-33.0","0","9.0","0",NA,"8.8","0",NA,"29.0","3","",,NA,"1058.3","0.0","2303405"
"SANIKILUAQ","56.537","-79.260","NU","-13.0","0",NA,"1.6","0","-26.1","0","",,NA,"5.7","0",NA,"","2","",,NA,"929.0","0.0","2303668"
"SHEPHERD BAY A","68.817","-93.433","NU","-21.7","0",NA,"-3.3","0","-39.0","0","",,NA,"",,NA,"","","",,NA,"1190.6","0.0","2303685"
"CROKER RIVER","69.276","-119.219","NU","-17.5","0",NA,"-3.8","0","-28.6","0","",,NA,"",,NA,"","","",,NA,"1064.3","0.0","230J01Q"
"LUPIN CS","65.755","-111.246","NU","-18.2","3",NA,"-3.7","3","-31.7","0","",,NA,"34.5","3",NA,"66.0","4","",,NA,"977.7","0.0","230N002"
"ALERT CLIMATE","82.500","-62.333","NU","-24.4","1",NA,"-11.9","1","-33.5","0","",,NA,"3.9","1",NA,"15.0","0","",,NA,"1229.0","0.0","2400305"
"ALERT UA","82.500","-62.333","NU","",,NA,"",,"",,"4.2","0",NA,"3.0","0",NA,"14.0","1","","",NA,"","","2400306"
"ARCTIC BAY CS","72.993","-85.012","NU","-19.9","1",NA,"-6.2","1","-31.7","0","",,NA,"8.6","1",NA,"6.0","3","",,NA,"1100.2","0.0","2400404"
"FOX FIVE","67.536","-63.789","NU","-14.9","0",NA,"2.5","0","-25.7","0","",,NA,"",,NA,"","","",,NA,"988.4","0.0","2400570"
"QIKIQTARJUAQ CLIMATE","67.547","-64.033","NU","-16.6","0",NA,"-1.2","0","-30.5","0","",,NA,"3.2","0",NA,"107.0","1","",,NA,"1037.7","0.0","2400573"
"QIKIQTARJUAQ A","67.547","-64.032","NU","-17.3","2",NA,"-1.1","2","-31.2","2","",,NA,"0.0","3",NA,"","0","",,NA,"988.5","0.0","2400577"
"CAMBRIDGE BAY A","69.108","-105.137","NU","-21.0","0",NA,"-7.2","0","-34.3","0","13.6","0",NA,"13.4","0",NA,"24.0","3","",,NA,"1171.1","0.0","2400601"
